recording_id,compression_type,source_dataset,label,attack_type
fake_common_voice_he_38094128,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39934757,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43466117,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39180063,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39427375,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39828746,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39954471,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39280233,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39889003,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38130933,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39598787,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39626006,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211700,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39686305,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616806,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43466115,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625450,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38614007,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39578660,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38130945,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38085633,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39668150,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39934752,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39317995,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39516146,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39903465,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38994381,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39869333,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39890635,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211658,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39697769,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39027958,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39545495,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625737,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39379888,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616745,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39028841,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39592657,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39029009,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771206,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39860896,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43498352,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39545494,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39515076,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154446,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38830032,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39545641,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39814534,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211512,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38835566,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131022,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40039777,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39814520,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39597129,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179830,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131156,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40980360,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39889039,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38848943,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39501175,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154243,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39560992,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38816544,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39353683,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771199,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38848955,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39263959,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39940011,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38371319,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39333363,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39516145,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38614010,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39677267,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38994155,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40978592,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39972328,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39940039,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40978545,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39261425,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616747,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39379444,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39609234,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39937270,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39280340,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43453182,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39889005,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39673767,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39261427,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38800497,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553746,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39934750,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39545496,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39280341,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38830019,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616791,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39180064,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38824078,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553544,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39327049,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625457,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39461904,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39828741,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39844328,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154492,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625720,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39327048,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40137981,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39753649,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39545497,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131009,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39261381,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39673764,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38118868,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39686303,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39753271,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39753715,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131008,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39609437,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38848950,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39446575,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39522795,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39327065,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553434,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39280379,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43453183,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38078784,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38130934,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39626007,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39772250,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39940016,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39280184,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39333414,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616636,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_42487979,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179823,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41617138,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39333366,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39427372,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39814533,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616583,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131031,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39869331,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43498341,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771176,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39541227,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_42922381,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616637,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38569696,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39261435,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38835560,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39333415,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39545479,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39514636,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39457082,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625719,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39261384,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625452,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39838437,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39522757,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38828323,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154333,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39889001,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43498355,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39828744,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553810,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771307,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41605214,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41605202,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39753763,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131080,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38130956,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38143990,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39317711,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154552,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39831312,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211823,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_42358449,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39939996,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625756,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39778686,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38904490,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39666685,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39327214,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39955290,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39514693,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39937170,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39784748,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39541269,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211229,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39669400,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39814540,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39263873,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38169214,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39562274,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39838445,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211611,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38737330,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39937171,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39673673,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40630795,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38770286,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553651,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39457230,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39937158,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_42358448,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39814541,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39009346,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39883403,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41605176,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39675831,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39626058,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39676125,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553480,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40978535,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41605173,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38094983,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39029118,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39666454,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131091,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39939978,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39196729,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553669,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39838441,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39597159,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39849041,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39578605,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39350852,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553641,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39934727,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39541916,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43503066,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616641,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39538751,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39609454,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39379436,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39934733,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39890645,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154392,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43467452,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771263,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39524581,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43467453,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41066670,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553708,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179855,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771262,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39675987,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211239,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39924486,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39457036,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39897670,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39211760,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38638990,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39897658,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39676097,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39319658,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39592627,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553522,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43313188,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39263877,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39673662,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39753766,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38169211,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39609253,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38130952,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39666441,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39427328,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39838483,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39937203,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39553697,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39934736,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39625752,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43281987,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39548260,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41486360,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39334319,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39667946,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38094980,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39686760,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38085657,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39676108,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38751688,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39541913,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39541278,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43503049,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39539843,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39838440,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39609521,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43281944,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38130944,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131084,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616642,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43281946,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38371340,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39514680,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39333879,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39753573,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39379435,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39541285,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38751703,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39029325,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179857,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39937163,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38104834,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154434,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39546139,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39592803,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38744440,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39327005,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39597172,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39592787,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39753765,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131086,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39838442,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38169212,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771261,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39666682,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39771315,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154408,mp3,custom_elevenlabs,spoof,elevenlabs
